cusip,duration,yield,base_coupon,price,ytm,ytw,moodys_rating,sp_rating,fitch_rating,trade_rating,price_to_par,coupon_yield_spread,ytm_ytw_spread,moodys_numeric,sp_numeric,fitch_numeric,is_investment_grade
7VUF8MPD9,12.87,6.64,6.01,108.21,5.94,5.97,AA+,AA,A-,10.0,1.0820999999999998,-0.6299999999999999,0.02999999999999936,20,19,15,True
JLRYA6O62,15.73,12.09,8.87,83.4,12.0,12.09,AA-,A-,BBB-,7.3,0.8340000000000001,-3.2200000000000006,0.08999999999999986,18,15,12,True
Q41A95U07,15.66,5.56,4.3,99.68,4.8,4.8,BBB-,AA,A-,10.0,0.9968,-1.2599999999999998,0.0,12,19,15,True
P55B1XMN7,22.43,7.81,3.25,59.68,8.03,8.37,BBB+,AAA,A,4.1,0.5968,-4.56,0.33999999999999986,14,21,16,True
SJ2PIYIS2,10.75,1.55,2.86,117.62,1.62,1.83,AA,A,AA-,10.0,1.1762000000000001,1.3099999999999998,0.20999999999999996,19,16,18,True
EJ377BC79,9.11,4.36,2.65,112.16,3.44,3.44,A+,A+,AA,6.0,1.1216,-1.7100000000000004,0.0,17,17,19,True
JZTZ0OGW9,30.0,2.19,2.28,103.86,2.79,2.8,A+,AA,A,6.9,1.0386,0.08999999999999986,0.009999999999999787,17,19,16,True
X81VDS494,24.25,8.66,5.63,99.51,8.1,8.29,AA-,AA-,A+,6.9,0.9951000000000001,-3.0300000000000002,0.1899999999999995,18,18,17,True
0IRIIHAN5,4.84,7.24,5.24,87.73,7.73,7.73,AAA,A+,BBB+,6.6,0.8773000000000001,-2.0,0.0,21,17,14,True
IY6YJ02O3,11.51,4.75,2.4,80.69,3.66,4.21,A+,BBB+,AA,7.3,0.8069,-2.35,0.5499999999999998,17,14,19,True
VF3JPZRN1,19.46,9.25,5.37,84.52,10.03,10.1,BBB+,A+,AA,7.1,0.8452,-3.88,0.07000000000000028,14,17,19,True
Q5GB31SK9,8.04,4.5,3.72,85.45,5.56,6.16,A+,A+,AA+,6.2,0.8545,-0.7799999999999998,0.6000000000000005,17,17,20,True
TWEGEBE40,5.79,6.11,5.19,79.76,6.78,7.33,A-,BBB+,AAA,10.0,0.7976000000000001,-0.9199999999999999,0.5499999999999998,15,14,21,True
NMRLP2X34,30.0,5.93,2.04,92.02,5.44,5.95,BBB+,AAA,AA,3.0,0.9201999999999999,-3.8899999999999997,0.5099999999999998,14,21,19,True
LAXDT1576,10.61,7.19,5.9,89.9,7.19,7.74,A,AA,A,10.0,0.899,-1.29,0.5499999999999998,16,19,16,True
SUAMAVYV5,8.25,7.14,7.16,95.97,7.16,7.39,BBB,AA-,A-,9.0,0.9597,0.020000000000000462,0.22999999999999954,13,18,15,True
Y0V51KEJ1,17.82,8.97,7.11,94.88,9.16,9.16,A,A+,AA,5.5,0.9488,-1.8600000000000003,0.0,16,17,19,True
AQWCENI53,4.53,9.94,5.09,66.29,9.52,9.95,A+,AA,AA,5.3,0.6629,-4.85,0.4299999999999997,17,19,19,True
M94OK1RZ8,12.87,9.16,5.15,73.01,8.41,8.41,AA+,A+,AA+,5.3,0.7301000000000001,-4.01,0.0,20,17,20,True
GJA23QHB2,8.12,5.16,2.77,90.19,5.55,5.62,BBB+,A,AA,7.1,0.9018999999999999,-2.39,0.07000000000000028,14,16,19,True
O8A26HBN9,14.38,5.58,5.28,110.81,6.69,6.89,A+,AA+,AA-,7.4,1.1081,-0.2999999999999998,0.1999999999999993,17,20,18,True
5KTY6BSP6,14.68,9.41,5.62,68.48,9.78,10.16,BBB,AA-,A-,7.8,0.6848000000000001,-3.79,0.3800000000000008,13,18,15,True
9COBHGRH1,14.89,6.82,3.56,95.17,7.1,7.19,AA,AAA,A,10.0,0.9517,-3.2600000000000002,0.09000000000000075,19,21,16,True
6LUU5J9V1,22.11,5.15,4.83,94.46,5.24,5.81,AA,A,A+,7.5,0.9445999999999999,-0.3200000000000003,0.5699999999999994,19,16,17,True
QWUMTKR70,7.92,12.16,9.59,90.94,11.86,12.16,A-,A,A,3.7,0.9094,-2.5700000000000003,0.3000000000000007,15,16,16,True
JJZGRD8R4,18.84,5.51,4.37,97.61,5.98,6.11,AAA,BBB,A,6.3,0.9761,-1.1399999999999997,0.1299999999999999,21,13,16,True
4I3D08YZ2,6.09,10.08,6.59,75.23,9.57,9.68,AAA,A+,BBB,6.1,0.7523000000000001,-3.49,0.10999999999999943,21,17,13,True
R55KKV5Q5,5.94,4.79,2.37,66.57,5.3,5.45,A+,A+,AA+,5.7,0.6657,-2.42,0.15000000000000036,17,17,20,True
1R898OIS6,13.56,3.55,3.88,119.11,4.25,4.33,AA,A-,A,5.3,1.1911,0.33000000000000007,0.08000000000000007,19,15,16,True
GG1ZBPIT4,6.69,3.65,0.37,75.28,2.65,2.89,A+,BBB-,A+,10.0,0.7528,-3.28,0.2400000000000002,17,12,17,True
KKDDLW293,10.87,6.13,6.24,96.48,6.37,6.77,AA,AA+,AA+,8.3,0.9648,0.11000000000000032,0.39999999999999947,19,20,20,True
ICVHHLI52,14.31,5.84,5.34,95.65,4.75,5.01,AA-,A+,A,5.7,0.9565,-0.5,0.2599999999999998,18,17,16,True
8IA55LTN6,11.55,5.23,4.09,105.24,6.18,6.2,A+,A-,A-,9.3,1.0524,-1.1400000000000006,0.020000000000000462,17,15,15,True
TPHH75U00,13.99,7.44,4.96,87.47,7.03,7.48,A+,BBB-,A-,4.0,0.8747,-2.4800000000000004,0.4500000000000002,17,12,15,True
4L4IW55X8,14.07,3.74,3.87,95.49,3.48,3.99,A-,AAA,AA-,4.8,0.9549,0.1299999999999999,0.5100000000000002,15,21,18,True
YLK0PNA37,8.24,2.82,3.48,108.0,1.91,1.91,BBB+,BBB+,A+,5.8,1.08,0.6600000000000001,0.0,14,14,17,True
LGH7E5KR9,8.49,4.79,4.38,87.34,4.33,4.38,A-,AA+,A,10.0,0.8734000000000001,-0.41000000000000014,0.04999999999999982,15,20,16,True
N9QCGL8D1,13.34,10.49,7.61,81.48,10.61,10.74,AAA,A+,A-,5.4,0.8148000000000001,-2.88,0.13000000000000078,21,17,15,True
0IWOTL6W9,8.85,3.94,3.22,81.76,4.41,4.41,AA,A,AA,3.0,0.8176000000000001,-0.7199999999999998,0.0,19,16,19,True
1SI4H4LT6,12.4,4.05,1.06,93.2,3.55,3.87,A+,AA+,AA-,9.4,0.932,-2.9899999999999998,0.3200000000000003,17,20,18,True
ID1J8SSD9,9.47,6.61,4.81,95.13,6.89,7.05,AA,A,AA+,6.7,0.9512999999999999,-1.8000000000000007,0.16000000000000014,19,16,20,True
SWUKF9RW1,11.91,6.36,5.37,106.74,5.77,6.12,AA,BBB+,BBB+,3.6,1.0674,-0.9900000000000002,0.35000000000000053,19,14,14,True
AVE6PSK40,14.01,6.85,6.72,88.29,6.15,6.74,AA,A+,A-,6.5,0.8829,-0.1299999999999999,0.5899999999999999,19,17,15,True
D7SE3FL98,7.51,5.46,4.38,87.51,5.95,5.95,A,A,AA-,8.8,0.8751000000000001,-1.08,0.0,16,16,18,True
FD9ORESH5,9.55,10.18,6.07,77.97,10.02,10.46,A,AAA,A,6.4,0.7797,-4.109999999999999,0.4400000000000013,16,21,16,True
KHZKRE4V1,10.15,4.6,4.7,106.38,4.24,4.38,AA,AA,AA+,10.0,1.0637999999999999,0.10000000000000053,0.13999999999999968,19,19,20,True
QGP57ECJ0,7.17,7.62,4.91,84.32,7.95,7.95,A+,BBB+,A+,5.2,0.8432,-2.71,0.0,17,14,17,True
5Y035XF23,6.08,5.67,5.32,83.46,5.3,5.86,BBB,A,A+,7.5,0.8345999999999999,-0.34999999999999964,0.5600000000000005,13,16,17,True
DLQXENAY0,10.8,4.78,1.66,76.09,4.7,5.14,AA-,BBB,A+,6.0,0.7609,-3.12,0.4399999999999995,18,13,17,True
YTNF7NSA0,4.06,6.89,4.68,97.42,7.24,7.61,AA-,AA-,A-,4.2,0.9742000000000001,-2.21,0.3700000000000001,18,18,15,True
SIPMOCNZ1,22.13,6.13,3.89,94.52,6.52,6.91,A-,AA-,AA+,7.8,0.9451999999999999,-2.2399999999999998,0.39000000000000057,15,18,20,True
ZSCELIQ21,28.07,7.54,3.11,74.67,8.2,8.2,AA,A,A+,6.9,0.7467,-4.43,0.0,19,16,17,True
JQKKCT8Y7,8.78,4.96,3.14,107.52,4.52,4.52,BBB+,A+,A,8.0,1.0752,-1.8199999999999998,0.0,14,17,16,True
XK9E32AY8,10.24,3.38,1.78,88.61,3.86,4.2,A+,AA+,A,7.8,0.8861,-1.5999999999999999,0.3400000000000003,17,20,16,True
YVTKOYKR5,26.03,5.53,6.32,112.6,5.24,5.5,BBB+,AA+,AA-,5.4,1.126,0.79,0.2599999999999998,14,20,18,True
YGGL042M3,14.73,8.56,7.46,70.57,8.36,8.83,BBB+,AA+,A-,3.8,0.7056999999999999,-1.1000000000000005,0.47000000000000064,14,20,15,True
O8BYI0T81,10.33,5.91,5.72,96.55,6.06,6.82,A,AA,AA,7.3,0.9655,-0.1900000000000004,0.7600000000000007,16,19,19,True
EQCJ6B7K2,11.63,8.2,4.52,83.49,7.83,8.6,BBB,A,BBB+,8.0,0.8349,-3.6799999999999997,0.7699999999999996,13,16,14,True
YOWH7QV73,5.23,6.84,5.39,85.7,8.08,8.65,A,AA,AA-,10.0,0.857,-1.4500000000000002,0.5700000000000003,16,19,18,True
UUCS42YH0,14.49,7.71,5.17,89.25,7.96,8.59,AA,A,A,7.9,0.8925,-2.54,0.6299999999999999,19,16,16,True
RJ1HMHZW4,10.75,8.92,10.0,109.0,8.21,8.44,A-,AA,AA+,6.8,1.09,1.08,0.22999999999999865,15,19,20,True
HZWA7K1S7,30.0,2.92,3.45,97.96,1.93,2.35,BBB,BBB+,A+,6.5,0.9795999999999999,0.5300000000000002,0.42000000000000015,13,14,17,True
X1CURG4I5,22.01,5.24,3.28,84.76,5.54,5.67,AAA,A+,A,7.1,0.8476,-1.9600000000000004,0.1299999999999999,21,17,16,True
O07KBM9J3,7.91,6.96,4.94,94.59,6.28,6.66,A+,AA-,AA+,4.9,0.9459000000000001,-2.0199999999999996,0.3799999999999999,17,18,20,True
9YC6FFRD6,8.52,8.14,3.78,78.47,8.2,8.2,AA+,AAA,AA+,7.0,0.7847,-4.360000000000001,0.0,20,21,20,True
A64K83986,11.71,5.12,3.84,100.57,4.86,5.04,A+,A+,A+,4.9,1.0057,-1.2800000000000002,0.17999999999999972,17,17,17,True
U7SQH0F48,6.57,4.34,2.76,83.91,4.45,4.55,BBB,BBB,A-,7.1,0.8391,-1.58,0.09999999999999964,13,13,15,True
JBH9U1353,27.09,9.9,6.6,69.37,9.32,9.32,A-,AA,AA-,8.1,0.6937000000000001,-3.3000000000000007,0.0,15,19,18,True
THMGCCKX4,18.86,8.33,4.94,105.09,7.94,7.94,BBB+,A+,A+,7.3,1.0509,-3.3899999999999997,0.0,14,17,17,True
CECOLKNJ4,11.56,6.68,5.79,97.35,6.91,7.17,A+,AA+,A+,5.3,0.9734999999999999,-0.8899999999999997,0.2599999999999998,17,20,17,True
COHQWDAM2,9.48,10.35,7.85,95.94,10.47,10.91,AA,AA-,AA,5.7,0.9594,-2.5,0.4399999999999995,19,18,19,True
VNXFMEW25,13.39,5.81,5.59,109.46,6.1,6.1,A+,AA,A,5.9,1.0946,-0.21999999999999975,0.0,17,19,16,True
8BA9N9GV5,11.63,4.75,4.51,97.75,4.6,4.69,A-,AA-,A+,7.5,0.9775,-0.2400000000000002,0.09000000000000075,15,18,17,True
QIG6U4891,23.47,7.84,4.55,84.35,8.41,8.49,AA,BBB+,A,8.0,0.8434999999999999,-3.29,0.08000000000000007,19,14,16,True
7E3XH1RI1,13.24,8.67,5.83,84.07,8.22,8.22,A,A,BBB+,7.4,0.8406999999999999,-2.84,0.0,16,16,14,True
3M3XE8QF2,16.41,5.62,3.82,91.71,4.87,4.87,AA-,BBB-,A,10.0,0.9170999999999999,-1.8000000000000003,0.0,18,12,16,True
4U1NUBHZ8,22.33,7.6,4.01,80.22,7.26,7.26,A-,AA-,A+,8.1,0.8022,-3.59,0.0,15,18,17,True
XJ4YJLGQ9,27.52,5.89,4.25,72.92,5.66,5.66,AA-,AAA,A+,6.9,0.7292000000000001,-1.6399999999999997,0.0,18,21,17,True
FNJWH83B6,28.28,11.55,7.0,70.46,11.61,11.61,AAA,A,A,6.4,0.7045999999999999,-4.550000000000001,0.0,21,16,16,True
9A0TUCG07,11.53,6.14,4.22,93.8,6.59,6.79,A,A+,A-,6.6,0.938,-1.92,0.20000000000000018,16,17,15,True
YH0FA80D6,11.41,5.67,7.21,102.53,5.29,5.48,A+,AA-,A-,5.8,1.0253,1.54,0.1900000000000004,17,18,15,True
VF8PNT723,15.85,5.07,4.05,95.72,5.08,5.42,AA-,A+,A-,10.0,0.9571999999999999,-1.0200000000000005,0.33999999999999986,18,17,15,True
ISMO9NJ93,7.57,5.2,3.79,85.74,5.13,5.78,AA,AA,AA-,9.7,0.8573999999999999,-1.4100000000000001,0.6500000000000004,19,19,18,True
U6AMM9M60,11.16,7.97,5.98,93.14,8.88,8.97,BBB-,AAA,AA+,5.6,0.9314,-1.9899999999999993,0.08999999999999986,12,21,20,True
5Y0ZA4F01,7.49,8.82,6.96,79.65,8.16,8.94,AAA,A-,AAA,7.1,0.7965000000000001,-1.8600000000000003,0.7799999999999994,21,15,21,True
5HCBSZGS5,14.85,9.45,5.53,56.11,8.26,8.31,BBB+,BBB+,AA-,8.0,0.5611,-3.919999999999999,0.05000000000000071,14,14,18,True
2R59EJ6W4,17.09,7.38,5.37,95.53,6.51,6.6,BBB,AA+,A+,7.6,0.9553,-2.01,0.08999999999999986,13,20,17,True
TT4R8RFQ0,7.44,5.23,3.06,82.91,5.47,5.47,AA-,AA-,AA+,4.9,0.8291,-2.1700000000000004,0.0,18,18,20,True
7Q3N7EYX2,11.25,9.13,5.86,85.11,8.97,9.18,AA-,AA-,A,6.6,0.8511,-3.2700000000000005,0.20999999999999908,18,18,16,True
M1XI9M7V3,14.33,0.0,1.39,115.41,0.0,0.55,A,AA,A+,5.8,1.1541,1.39,0.55,16,19,17,True
Z8F0SLE80,13.13,12.79,8.86,74.25,12.6,12.6,AA-,AA-,A-,7.7,0.7425,-3.9299999999999997,0.0,18,18,15,True
KOO5R8HO5,25.19,4.08,4.84,112.73,3.79,4.2,AA,A+,AA,9.0,1.1273,0.7599999999999998,0.41000000000000014,19,17,19,True
XZM2NPS43,2.85,8.29,6.18,94.18,8.82,9.08,A+,A,AA-,9.5,0.9418000000000001,-2.1099999999999994,0.2599999999999998,17,16,18,True
BKNCWQ0D2,11.64,6.72,3.22,79.65,7.1,7.21,BBB,AA-,AA-,4.3,0.7965000000000001,-3.4999999999999996,0.11000000000000032,13,18,18,True
91PKJHKJ5,30.0,8.95,5.54,73.95,8.16,8.16,AA-,A+,AA-,3.8,0.7395,-3.4099999999999993,0.0,18,17,18,True
Q9TWJ25A4,9.03,4.96,3.07,94.15,6.01,6.01,BBB-,AA,A,9.4,0.9415,-1.8900000000000001,0.0,12,19,16,True
JGRIQVMD9,17.81,10.45,8.06,81.93,10.52,10.53,A,AA,A-,4.0,0.8193,-2.389999999999999,0.009999999999999787,16,19,15,True
8PNJDIHJ9,5.8,8.39,4.58,65.68,7.87,8.1,AA-,AA,AA,3.7,0.6568,-3.8100000000000005,0.22999999999999954,18,19,19,True
AEB3N1X60,27.8,4.69,3.56,81.99,4.83,5.01,BBB,A-,AA,7.3,0.8199,-1.1300000000000003,0.17999999999999972,13,15,19,True
7H3KUNIP4,11.04,6.14,4.07,72.21,6.38,6.7,A-,AA-,A,5.7,0.7221,-2.0699999999999994,0.3200000000000003,15,18,16,True
17P0XNXT7,9.99,4.08,4.66,93.75,4.6,5.03,AA-,A-,AA-,10.0,0.9375,0.5800000000000001,0.4300000000000006,18,15,18,True
S2KXEDPT4,28.49,7.22,4.2,73.35,7.6,7.86,AA,A,A+,6.5,0.7334999999999999,-3.0199999999999996,0.2600000000000007,19,16,17,True
JQU27I386,11.02,4.76,1.47,65.51,4.84,5.33,A,A+,AA+,7.5,0.6551,-3.29,0.4900000000000002,16,17,20,True
6I8M6QE39,11.9,2.43,1.84,91.45,1.41,1.62,AA-,A+,AA+,6.2,0.9145,-0.5900000000000001,0.2100000000000002,18,17,20,True
CGNV66EC2,9.01,8.61,5.64,90.95,8.4,8.69,A,A-,A+,9.4,0.9095,-2.9699999999999998,0.28999999999999915,16,15,17,True
JLXWJZUE6,9.04,10.41,9.2,94.27,10.07,10.34,A+,AA,A+,6.7,0.9427,-1.2100000000000009,0.2699999999999996,17,19,17,True
TB8JDJQC7,14.91,4.71,3.46,98.14,4.75,5.26,A+,AA+,A,6.3,0.9814,-1.25,0.5099999999999998,17,20,16,True
GEQZLIZA4,13.18,6.35,5.35,96.98,6.05,6.13,AA-,AA-,BBB+,5.7,0.9698,-1.0,0.08000000000000007,18,18,14,True
Z7BRXTXI9,21.35,6.8,5.74,98.06,6.35,6.84,A,AA-,BBB-,6.0,0.9806,-1.0599999999999996,0.4900000000000002,16,18,12,True
X51C4DK84,7.77,6.69,3.07,91.33,6.94,7.46,A,AA+,A,4.9,0.9133,-3.6200000000000006,0.5199999999999996,16,20,16,True
3EXQQS6T9,9.29,8.48,4.86,77.32,8.29,9.05,AA+,AA-,A+,8.5,0.7731999999999999,-3.62,0.7600000000000016,20,18,17,True
T3N1TDSX5,13.47,8.61,6.22,68.54,8.44,8.44,AA-,A,A,2.7,0.6854,-2.3899999999999997,0.0,18,16,16,True
CTEVV8NL0,7.42,7.7,6.84,91.97,7.54,7.77,A+,A-,BBB+,6.8,0.9197,-0.8600000000000003,0.22999999999999954,17,15,14,True
MM1IBKBP2,5.0,2.88,0.54,82.68,2.6,3.01,A+,A-,A-,8.3,0.8268000000000001,-2.34,0.4099999999999997,17,15,15,True
1QEGLI7A6,14.23,3.52,1.84,103.38,3.82,3.82,AA+,A,A+,7.9,1.0338,-1.68,0.0,20,16,17,True
5CHQJ9EF2,9.51,7.73,4.0,84.34,8.36,8.65,AA-,AA-,A+,5.3,0.8434,-3.7300000000000004,0.2900000000000009,18,18,17,True
RH7EKKZI3,17.7,12.13,7.8,83.52,11.6,11.99,AA-,AA+,AA+,6.3,0.8351999999999999,-4.330000000000001,0.39000000000000057,18,20,20,True
2RBX3OFC5,18.63,8.0,5.84,93.07,8.16,8.74,A,A-,A,3.9,0.9307,-2.16,0.5800000000000001,16,15,16,True
CNR6CTSM7,16.76,9.25,5.9,69.58,9.35,9.52,AAA,A+,AA,6.0,0.6958,-3.3499999999999996,0.16999999999999993,21,17,19,True
1T7DRU419,7.98,8.06,6.11,74.31,8.27,8.29,A+,BBB+,AA,8.0,0.7431,-1.9500000000000002,0.019999999999999574,17,14,19,True
XVT0O4G03,6.56,9.06,6.35,77.63,9.79,10.15,AA-,AA-,AA-,7.3,0.7763,-2.710000000000001,0.3600000000000012,18,18,18,True
Q7JRJMZP0,7.54,1.92,2.29,106.01,1.81,2.13,BBB+,AA+,A,5.6,1.0601,0.3700000000000001,0.31999999999999984,14,20,16,True
DWI927P97,11.89,8.2,5.98,92.67,7.74,7.76,AA-,AA+,AA,8.9,0.9267,-2.219999999999999,0.019999999999999574,18,20,19,True
N0D9UNV06,11.15,4.55,3.17,96.57,4.72,4.72,AA,AA+,AA,7.9,0.9656999999999999,-1.38,0.0,19,20,19,True
8DZ3BVJ68,23.89,7.44,2.48,79.36,7.95,8.59,AA-,AAA,A+,7.1,0.7936,-4.960000000000001,0.6399999999999997,18,21,17,True
YKP1XAHQ0,13.25,9.64,6.89,77.46,10.01,10.02,AA+,A-,BBB+,9.2,0.7746,-2.750000000000001,0.009999999999999787,20,15,14,True
CCM8ZITM6,26.1,1.68,2.27,83.58,2.22,2.22,BBB,BBB,AA,8.0,0.8358,0.5900000000000001,0.0,13,13,19,True
WT1JA5WN1,14.66,8.02,6.17,90.18,8.22,8.35,A,A,AA,8.4,0.9018,-1.8499999999999996,0.129999999999999,16,16,19,True
QIOVOFKF4,25.15,4.57,2.15,84.86,4.91,4.91,A+,A+,AA+,6.9,0.8486,-2.4200000000000004,0.0,17,17,20,True
WBJ74JSV4,18.1,7.14,3.86,71.31,7.86,8.07,AA,BBB,BBB,8.0,0.7131000000000001,-3.28,0.20999999999999996,19,13,13,True
OWWFWRNK2,9.46,4.87,3.3,87.15,4.65,5.2,AA+,AA-,BBB-,8.2,0.8715,-1.5700000000000003,0.5499999999999998,20,18,12,True
BKY4BVQR6,6.76,9.79,8.64,102.56,9.9,9.9,BBB+,A+,A-,3.7,1.0256,-1.1499999999999986,0.0,14,17,15,True
YAQTMQ562,29.61,4.92,4.08,101.24,5.61,5.61,AA+,AA-,A+,7.8,1.0124,-0.8399999999999999,0.0,20,18,17,True
6RM9K88O5,12.13,6.9,5.32,104.99,7.11,7.7,BBB+,AA-,A+,6.9,1.0499,-1.58,0.5899999999999999,14,18,17,True
2S4UGN6D7,6.81,9.56,8.66,88.8,9.13,9.67,A+,AA,BBB,7.5,0.888,-0.9000000000000004,0.5399999999999991,17,19,13,True
461R09EQ3,25.05,6.06,3.98,86.48,6.63,6.63,AAA,AA-,A,6.4,0.8648,-2.0799999999999996,0.0,21,18,16,True
R2XZVHBG3,28.04,7.18,4.18,79.24,6.51,6.83,AA,A+,A-,4.4,0.7924,-3.0,0.3200000000000003,19,17,15,True
FRLTPEXK8,5.63,6.5,3.92,95.48,6.16,6.16,AA,A+,AA-,8.9,0.9548000000000001,-2.58,0.0,19,17,18,True
IVSIGT1Z8,12.14,11.51,5.36,63.3,12.38,12.47,A+,A+,AA,2.8,0.633,-6.1499999999999995,0.08999999999999986,17,17,19,True
JZ1DRY6F4,5.43,6.17,4.54,98.13,6.19,6.58,A,A+,AA+,10.0,0.9813,-1.63,0.3899999999999997,16,17,20,True
RA5AXOWG7,8.17,5.14,4.5,117.9,4.79,5.2,AA,AA-,BBB+,7.6,1.179,-0.6399999999999997,0.41000000000000014,19,18,14,True
3I6LWJEB0,8.84,9.05,8.33,96.78,9.37,9.37,AA+,BBB,AA,7.4,0.9678,-0.7200000000000006,0.0,20,13,19,True
6LP7G9OW2,6.49,9.86,6.46,90.33,10.38,11.05,BBB+,AA+,AA-,6.7,0.9033,-3.3999999999999995,0.6699999999999999,14,20,18,True
P44GDIDS8,25.42,4.05,3.6,104.43,3.65,3.65,A+,AA,AAA,7.9,1.0443,-0.44999999999999973,0.0,17,19,21,True
M5J16CVV2,6.45,4.06,2.51,94.91,4.28,4.33,A,AAA,A,4.7,0.9490999999999999,-1.5499999999999998,0.04999999999999982,16,21,16,True
V6PFBRGM1,7.42,5.11,2.11,90.78,5.4,5.56,A+,A,A+,9.3,0.9078,-3.0000000000000004,0.15999999999999925,17,16,17,True
WY0R0HHT9,15.57,8.94,6.1,80.2,8.71,9.14,BBB,AAA,AA,5.9,0.802,-2.84,0.4299999999999997,13,21,19,True
V8LHE2L88,30.0,10.45,7.37,85.7,10.96,11.31,AAA,A+,A+,3.7,0.857,-3.079999999999999,0.34999999999999964,21,17,17,True
AMT761C50,8.21,7.05,5.0,109.71,7.0,7.68,AA,A,AA,5.4,1.0971,-2.05,0.6799999999999997,19,16,19,True
OUAX1F6O9,14.09,7.73,6.92,96.27,7.05,7.46,A-,A-,BBB,5.7,0.9627,-0.8100000000000005,0.41000000000000014,15,15,13,True
NPKKYQC14,2.59,6.43,5.26,97.98,7.43,8.23,AA+,AA-,A-,5.1,0.9798,-1.17,0.8000000000000007,20,18,15,True
BWTRU2G44,10.83,5.38,4.19,96.96,4.64,5.22,A-,AA,A,10.0,0.9695999999999999,-1.1899999999999995,0.5800000000000001,15,19,16,True
BE772KZJ1,18.0,5.46,3.07,98.27,5.36,5.36,AA,A,A,10.0,0.9826999999999999,-2.39,0.0,19,16,16,True
HOXZALBI9,12.28,6.02,3.05,85.35,4.86,5.29,A-,A+,A+,7.6,0.8534999999999999,-2.9699999999999998,0.4299999999999997,15,17,17,True
C4KIMH6L4,22.29,6.42,4.93,104.21,6.37,6.37,A+,AA,A-,6.0,1.0421,-1.4900000000000002,0.0,17,19,15,True
Z00M4USZ6,4.28,6.26,4.66,87.99,6.2,6.48,AA,A+,AA-,7.3,0.8798999999999999,-1.5999999999999996,0.28000000000000025,19,17,18,True
1CT7NO924,11.87,9.95,4.73,92.21,9.58,9.58,BBB,AA-,AA,7.0,0.9220999999999999,-5.219999999999999,0.0,13,18,19,True
IB0OCQM12,10.68,2.7,1.81,102.07,3.41,3.49,AA-,A+,AA,10.0,1.0207,-0.8900000000000001,0.08000000000000007,18,17,19,True
6UXHH1457,10.2,7.32,5.83,101.23,6.85,7.39,BBB+,AA+,AA,5.3,1.0123,-1.4900000000000002,0.54,14,20,19,True
WJCSEQUA5,7.98,6.88,4.97,92.88,6.92,7.36,AA-,A,A,4.8,0.9288,-1.9100000000000001,0.4400000000000004,18,16,16,True
J0KBWS250,10.08,7.37,5.29,104.52,6.96,7.02,AA-,AA-,A,10.0,1.0452,-2.08,0.05999999999999961,18,18,16,True
CDJ5L64S4,8.14,8.18,5.15,83.44,8.76,9.12,A+,AA-,AA+,2.9,0.8344,-3.0299999999999994,0.35999999999999943,17,18,20,True
PB1EH8GY3,14.13,7.86,5.79,76.86,9.03,9.15,BBB,A+,A+,3.9,0.7686,-2.0700000000000003,0.120000000000001,13,17,17,True
I6D173IS8,18.83,9.09,6.9,87.6,8.86,8.86,AA,AA-,AA,5.4,0.8759999999999999,-2.1899999999999995,0.0,19,18,19,True
5CHVBBR38,3.36,5.58,4.39,95.52,5.61,6.18,A+,A+,AA,4.7,0.9551999999999999,-1.1900000000000004,0.5699999999999994,17,17,19,True
O4QGPI0X9,8.99,2.96,2.97,104.37,2.62,3.11,AA,AA+,A,9.7,1.0437,0.010000000000000231,0.48999999999999977,19,20,16,True
VBW3RQ0R3,22.27,8.48,6.22,92.62,8.24,8.25,A-,AA,AA+,7.2,0.9262,-2.2600000000000007,0.009999999999999787,15,19,20,True
B69BF4590,8.28,10.56,8.22,94.65,10.15,10.15,A+,AAA,A+,4.7,0.9465,-2.34,0.0,17,21,17,True
YK3JJ9XS9,10.73,6.88,3.07,74.32,6.66,6.98,AA-,AA-,AA,9.4,0.7432,-3.81,0.3200000000000003,18,18,19,True
82MCF4GO1,16.81,8.11,6.86,82.19,8.25,8.25,AA+,BBB-,A-,9.5,0.8219,-1.2499999999999991,0.0,20,12,15,True
D3EPWMOG5,23.71,3.45,1.28,97.72,3.24,3.24,A-,A,A,5.8,0.9772,-2.17,0.0,15,16,16,True
BTPOJZRG2,27.99,8.49,5.61,99.74,8.72,8.76,A,AA+,A+,4.4,0.9974,-2.88,0.03999999999999915,16,20,17,True
3SP3BNRG3,9.48,4.91,2.99,87.91,5.98,6.45,A,A-,AA,10.0,0.8791,-1.92,0.46999999999999975,16,15,19,True
5W9D6XBU5,12.2,10.93,7.46,68.63,11.23,11.37,AA+,A+,A+,7.2,0.6862999999999999,-3.4699999999999998,0.1399999999999988,20,17,17,True
G1HCG6RL2,6.49,10.11,6.57,78.29,10.35,10.42,A+,A,A,6.6,0.7829,-3.539999999999999,0.07000000000000028,17,16,16,True
IEP3K2AG9,14.35,3.93,2.22,102.07,3.9,4.25,AA,AA-,BBB,9.8,1.0207,-1.71,0.3500000000000001,19,18,13,True
EMJZDCTL6,18.18,5.73,4.22,100.76,5.84,5.91,AA-,A-,A+,7.6,1.0076,-1.5100000000000007,0.07000000000000028,18,15,17,True
KCO6OQPU1,26.16,5.33,4.84,76.7,4.59,4.59,A+,A-,AA-,5.9,0.767,-0.4900000000000002,0.0,17,15,18,True
